latitude,longitude,altitude,
0.0, 0.0, 0.0, 
0.0, 0.0, 0.0, 
0.0, 0.0, 0.0, 
0.0, 0.0, 0.0, 
0.0, 0.0, 0.0, 
0.0, 0.0, 0.0, 
0.0, 0.0, 0.0, 
0.0, 0.0, 0.0, 
0.0, 0.0, 0.0, 
0.0, 0.0, 0.0, 
0.0, 0.0, 0.0, 
0.0, 0.0, 0.0, 
0.0, 0.0, 0.0, 
0.0, 0.0, 0.0, 
0.0, 0.0, 0.0, 
0.0, 0.0, 0.0, 
0.0, 0.0, 0.0, 
40.2815355, -3.8209251, 688.21, 
40.2815359, -3.8209244, 687.75, 
40.2815374, -3.8209218, 687.57, 
40.2815381, -3.8209196, 687.69, 
40.2815396, -3.8209164, 687.59, 
40.2815416, -3.8209157, 687.74, 
40.2815434, -3.8209166, 687.93, 
40.2815454, -3.8209166, 688.07, 
40.2815461, -3.8209165, 688.29, 
40.2815478, -3.8209164, 688.48, 
40.2815499, -3.8209149, 688.56, 
40.2815505, -3.820915, 688.48, 
40.2815496, -3.8209153, 688.63, 
40.2815479, -3.8209167, 688.87, 
40.2815465, -3.8209166, 689.04, 
40.2815461, -3.8209166, 689.09, 
40.2815456, -3.8209155, 689.08, 
40.281545, -3.8209148, 689.16, 
40.281544, -3.8209148, 689.39, 
40.2815432, -3.820915, 689.55, 
40.2815434, -3.8209155, 689.64, 
40.2815434, -3.8209161, 689.72, 
40.2815427, -3.820916, 689.84, 
40.2815427, -3.8209152, 689.9, 
40.2815442, -3.8209147, 690.09, 
40.2815453, -3.8209134, 690.42, 
40.2815481, -3.8209153, 691.0, 
40.2815496, -3.8209192, 691.26, 
40.2815495, -3.8209178, 691.22, 
40.2815502, -3.8209173, 691.31, 
40.2815507, -3.8209179, 691.38, 
40.2815513, -3.8209175, 691.37, 
40.2815518, -3.8209155, 691.44, 
40.2815517, -3.8209136, 691.55, 
40.2815521, -3.8209105, 691.65, 
40.2815527, -3.8209057, 691.81, 
40.2815526, -3.8209002, 691.9, 
40.2815528, -3.8208949, 692.04, 
40.2815532, -3.8208901, 692.11, 
40.2815531, -3.8208869, 692.08, 
40.2815531, -3.8208836, 692.1, 
40.2815537, -3.8208814, 692.11, 
40.2815547, -3.8208791, 692.09, 
40.2815538, -3.8208773, 692.21, 
40.2815501, -3.8208731, 692.28, 
40.281543, -3.8208674, 692.39, 
40.2815337, -3.8208619, 692.45, 
40.2815252, -3.8208587, 692.46, 
40.2815208, -3.8208549, 692.57, 
40.2815203, -3.8208527, 692.51, 
40.2815221, -3.8208504, 692.6, 
40.2815253, -3.820848, 692.62, 
40.2815283, -3.8208453, 692.65, 
40.28153, -3.8208442, 692.65, 
40.2815312, -3.8208437, 692.7, 
40.2815327, -3.8208433, 692.74, 
40.281533, -3.8208427, 692.85, 
40.2815296, -3.8208433, 693.11, 
40.2815239, -3.8208449, 693.16, 
40.2815177, -3.8208462, 693.1, 
40.2815113, -3.8208455, 693.13, 
40.2815044, -3.8208437, 693.13, 
40.2814985, -3.8208411, 693.16, 
40.2814928, -3.8208399, 693.15, 
40.2814868, -3.8208395, 693.14, 
40.2814806, -3.8208369, 693.1, 
40.2814753, -3.8208354, 693.14, 
40.2814709, -3.8208359, 693.13, 
40.2814691, -3.8208385, 693.15, 
40.2814677, -3.8208429, 693.11, 
40.2814674, -3.8208479, 693.1, 
40.2814685, -3.8208531, 693.1, 
40.2814708, -3.8208588, 693.09, 
40.2814739, -3.8208641, 693.09, 
40.2814789, -3.8208682, 693.09, 
40.2814834, -3.8208714, 693.09, 
40.2814883, -3.8208725, 693.02, 
40.2814935, -3.8208722, 692.88, 
40.2814985, -3.8208712, 692.74, 
40.2815027, -3.8208709, 692.71, 
40.2815053, -3.8208713, 692.66, 
40.2815087, -3.8208725, 692.68, 
40.2815089, -3.8208738, 692.64, 
40.2815068, -3.820876, 692.68, 
40.2815028, -3.820878, 692.71, 
40.2814987, -3.8208815, 692.73, 
40.2814954, -3.8208869, 692.81, 
40.2814942, -3.8208937, 692.88, 
40.2814956, -3.8209012, 693.0, 
40.2814984, -3.8209092, 693.2, 
40.2815007, -3.8209157, 693.21, 
40.2815021, -3.8209215, 693.31, 
40.2815046, -3.8209271, 693.4, 
40.2815084, -3.8209327, 693.47, 
40.2815124, -3.8209369, 693.53, 
40.2815172, -3.8209393, 693.63, 
40.2815226, -3.8209416, 693.75, 
40.2815268, -3.8209428, 693.85, 
40.2815289, -3.8209436, 693.86, 
40.2815283, -3.8209447, 693.99, 
40.2815264, -3.8209461, 694.09, 
40.2815241, -3.820947, 694.12, 
40.2815233, -3.8209466, 694.14, 
40.2815236, -3.8209456, 694.19, 
40.2815242, -3.8209446, 694.29, 
40.2815252, -3.8209437, 694.36, 
40.2815261, -3.820943, 694.49, 
40.2815265, -3.8209433, 694.64, 
40.2815265, -3.8209459, 694.7, 
40.2815254, -3.8209496, 694.63, 
40.2815223, -3.820955, 694.61, 
40.2815189, -3.8209618, 694.64, 
40.2815162, -3.8209684, 694.58, 
40.2815129, -3.8209743, 694.7, 
40.2815099, -3.8209789, 694.7, 
40.2815072, -3.8209816, 694.71, 
40.2815057, -3.8209842, 694.69, 
40.281505, -3.820986, 694.68, 
40.2815041, -3.8209857, 694.66, 
40.2815041, -3.8209856, 694.55, 
40.2815035, -3.8209855, 694.45, 
40.2815022, -3.8209858, 694.36, 
40.281502, -3.820986, 694.24, 
40.2815024, -3.8209852, 694.23, 
40.2815026, -3.8209839, 694.14, 
40.2815012, -3.8209843, 694.12, 
40.2815012, -3.8209873, 694.18, 
40.2815006, -3.8209898, 694.19, 
40.2815003, -3.8209911, 694.27, 
40.2815011, -3.8209933, 694.33, 
40.2815008, -3.8209959, 694.35, 
40.281501, -3.8209972, 694.39, 
40.2815005, -3.8209975, 694.48, 
40.281502, -3.8209966, 694.61, 
40.2815043, -3.8209952, 694.57, 
40.2815068, -3.820992, 694.55, 
40.2815076, -3.8209901, 694.57, 
40.2815088, -3.8209846, 694.52, 
40.2815103, -3.8209838, 694.49, 
40.2815122, -3.8209831, 694.48, 
40.2815145, -3.8209816, 694.42, 
40.2815156, -3.8209796, 694.47, 
40.281517, -3.8209773, 694.55, 
40.2815191, -3.8209771, 694.56, 
40.2815195, -3.8209787, 694.68, 
40.2815188, -3.8209798, 694.86, 
40.2815197, -3.8209794, 694.93, 
40.2815217, -3.8209763, 694.92, 
40.2815251, -3.8209702, 694.86, 
40.2815286, -3.8209644, 694.89, 
40.2815347, -3.8209616, 694.94, 
40.2815408, -3.8209612, 694.9, 
40.2815442, -3.8209611, 694.84, 
40.2815498, -3.8209601, 694.76, 
40.2815538, -3.8209579, 694.78, 
40.2815612, -3.8209498, 694.76, 
40.2815677, -3.8209452, 694.77, 
40.2815763, -3.8209418, 694.78, 
40.281586, -3.820937, 694.77, 
40.281596, -3.8209309, 694.76, 
40.281606, -3.8209233, 694.68, 
40.2816171, -3.820914, 694.59, 
40.281627, -3.8209047, 694.58, 
40.2816332, -3.8208993, 694.57, 
40.281636, -3.8208958, 694.63, 
40.2816368, -3.8208949, 694.69, 
40.2816363, -3.8208956, 694.71, 
40.2816356, -3.8208959, 694.74, 
40.2816348, -3.8208984, 694.77, 
40.2816333, -3.8209014, 694.8, 
40.2816316, -3.8209028, 694.86, 
40.2816293, -3.8209038, 694.94, 
40.2816266, -3.8209042, 694.93, 
40.281624, -3.8209038, 694.86, 
40.2816229, -3.8209041, 694.87, 
40.2816229, -3.8209041, 694.87, 
40.2816229, -3.8209041, 694.87, 
40.2816229, -3.8209041, 694.87, 
40.281622, -3.8209001, 695.03, 
40.2816226, -3.8208982, 695.04, 
40.2816219, -3.8208963, 695.03, 
40.2816165, -3.82089, 695.03, 
40.2816131, -3.820886, 694.99, 
40.2816107, -3.8208838, 694.94, 
40.2816075, -3.8208824, 694.96, 
